S
I=43,J=43
2.000000, 13.000000, 3.407528
3.000000, 13.000000, 3.411662
4.000000, 13.000000, 3.419371
5.000000, 13.000000, 3.431527
6.000000, 13.000000, 3.449398
7.000000, 13.000000, 3.473662
8.000000, 13.000000, 3.509239
9.000000, 13.000000, 3.559244
10.000000, 13.000000, 3.620131
11.000000, 13.000000, 3.688105
12.000000, 13.000000, 3.755883
13.000000, 13.000000, 3.810900
14.000000, 13.000000, 3.830405
15.000000, 13.000000, 3.770522
16.000000, 13.000000, 3.591800
17.000000, 13.000000, 3.291288
18.000000, 13.000000, 2.899480
19.000000, 13.000000, 2.477954
20.000000, 13.000000, 2.083025
21.000000, 13.000000, 1.748512
22.000000, 13.000000, 1.490093
23.000000, 13.000000, 1.313188
24.000000, 13.000000, 1.215620
25.000000, 13.000000, 1.188631
26.000000, 13.000000, 1.217601
27.000000, 13.000000, 1.286434
28.000000, 13.000000, 1.382187
29.000000, 13.000000, 1.501080
30.000000, 13.000000, 1.674439
31.000000, 13.000000, 1.890947
32.000000, 13.000000, 2.134706
33.000000, 13.000000, 2.412291
34.000000, 13.000000, 2.731001
35.000000, 13.000000, 3.093314
36.000000, 13.000000, 3.486849
37.000000, 13.000000, 3.865772
38.000000, 13.000000, 4.145342
39.000000, 13.000000, 4.255642
40.000000, 13.000000, 4.215652
41.000000, 13.000000, 4.100751
42.000000, 13.000000, 3.970712
0.000000, 14.000000, 3.512313
1.000000, 14.000000, 3.520140
2.000000, 14.000000, 3.532109
3.000000, 14.000000, 3.548819
4.000000, 14.000000, 3.570927
5.000000, 14.000000, 3.599405
6.000000, 14.000000, 3.635594
7.000000, 14.000000, 3.680539
8.000000, 14.000000, 3.738091
9.000000, 14.000000, 3.813514
10.000000, 14.000000, 3.905642
11.000000, 14.000000, 4.014207
12.000000, 14.000000, 4.136796
13.000000, 14.000000, 4.266203
14.000000, 14.000000, 4.382790
15.000000, 14.000000, 4.428191
16.000000, 14.000000, 4.316803
17.000000, 14.000000, 3.993918
18.000000, 14.000000, 3.499290
19.000000, 14.000000, 2.962292
20.000000, 14.000000, 2.478299
21.000000, 14.000000, 2.083173
22.000000, 14.000000, 1.782818
23.000000, 14.000000, 1.571433
24.000000, 14.000000, 1.440267
25.000000, 14.000000, 1.378024
26.000000, 14.000000, 1.369516
27.000000, 14.000000, 1.397981
28.000000, 14.000000, 1.451136
29.000000, 14.000000, 1.522724
30.000000, 14.000000, 1.636264
31.000000, 14.000000, 1.793677
32.000000, 14.000000, 1.983030
33.000000, 14.000000, 2.196704
34.000000, 14.000000, 2.435788
35.000000, 14.000000, 2.697490
36.000000, 14.000000, 2.969580
37.000000, 14.000000, 3.224738
38.000000, 14.000000, 3.425370
39.000000, 14.000000, 3.543503
40.000000, 14.000000, 3.581751
41.000000, 14.000000, 3.567278
42.000000, 14.000000, 3.530331
0.000000, 15.000000, 3.619316
1.000000, 15.000000, 3.636305
2.000000, 15.000000, 3.658400
3.000000, 15.000000, 3.686292
4.000000, 15.000000, 3.720805
5.000000, 15.000000, 3.763100
6.000000, 15.000000, 3.814824
7.000000, 15.000000, 3.877445
8.000000, 15.000000, 3.954491
9.000000, 15.000000, 4.052329
10.000000, 15.000000, 4.173231
11.000000, 15.000000, 4.321077
12.000000, 15.000000, 4.499950
13.000000, 15.000000, 4.712875
14.000000, 15.000000, 4.954678
15.000000, 15.000000, 5.186657
16.000000, 15.000000, 5.269576
17.000000, 15.000000, 4.932549
18.000000, 15.000000, 4.224949
19.000000, 15.000000, 3.494763
20.000000, 15.000000, 2.888066
21.000000, 15.000000, 2.417965
22.000000, 15.000000, 2.067492
23.000000, 15.000000, 1.816464
24.000000, 15.000000, 1.646896
25.000000, 15.000000, 1.548620
26.000000, 15.000000, 1.502857
27.000000, 15.000000, 1.491282
28.000000, 15.000000, 1.501642
29.000000, 15.000000, 1.528244
30.000000, 15.000000, 1.592849
31.000000, 15.000000, 1.685554
32.000000, 15.000000, 1.807037
33.000000, 15.000000, 1.958221
34.000000, 15.000000, 2.126462
35.000000, 15.000000, 2.307435
36.000000, 15.000000, 2.493710
37.000000, 15.000000, 2.671471
38.000000, 15.000000, 2.824214
39.000000, 15.000000, 2.939731
40.000000, 15.000000, 3.016246
41.000000, 15.000000, 3.062801
42.000000, 15.000000, 3.093281
0.000000, 16.000000, 3.727740
1.000000, 16.000000, 3.753134
2.000000, 16.000000, 3.784090
3.000000, 16.000000, 3.821342
4.000000, 16.000000, 3.866015
5.000000, 16.000000, 3.919477
6.000000, 16.000000, 3.983087
7.000000, 16.000000, 4.059501
8.000000, 16.000000, 4.151443
9.000000, 16.000000, 4.265830
10.000000, 16.000000, 4.408039
11.000000, 16.000000, 4.585281
12.000000, 16.000000, 4.807706
13.000000, 16.000000, 5.090578
14.000000, 16.000000, 5.455496
15.000000, 16.000000, 5.927646
16.000000, 16.000000, 6.137628
17.000000, 16.000000, 5.712563
18.000000, 16.000000, 4.960724
19.000000, 16.000000, 3.985562
20.000000, 16.000000, 3.258795
21.000000, 16.000000, 2.721494
22.000000, 16.000000, 2.326370
23.000000, 16.000000, 2.040257
24.000000, 16.000000, 1.839059
25.000000, 16.000000, 1.705503
26.000000, 16.000000, 1.621238
